partner_id,join_date,months_on_platform,weekly_trips,cancel_rate,on_time_rate,avg_rating,earnings_volatility,region,repay_on_time
P100000,2023-03-26 01:30:36.815254,1,32,0.04716569341404467,0.8628540401131811,4.74793575638613,0.07157928617256115,East,1
P100001,2022-09-23 01:30:36.815631,33,23,0.19193478729125302,0.8884781448532467,4.445974429403425,0.08274002956185507,South,0
P100002,2025-04-03 01:30:36.815642,7,26,0.10539397794684911,0.9047100700691726,4.474072150453025,0.1270304212727241,Central,0
P100003,2024-04-23 01:30:36.815646,11,22,0.035275145633752794,0.9970512689784864,4.579776075566261,0.10649360129347961,South,1
P100004,2024-09-06 01:30:36.815650,27,38,0.14913044163066186,0.8401900846835116,4.340184468037434,0.353631875170635,North,0
P100005,2025-05-07 01:30:36.815654,14,26,0.06937556342794887,0.9061355047484456,4.876404963912857,0.28708623099019864,East,0
P100006,2023-03-15 01:30:36.815657,22,33,0.044601951129633395,0.8256128917841005,4.9663607279839015,0.05,Central,0
P100007,2025-03-25 01:30:36.815660,16,34,0.048520757959567846,0.8117284258144799,4.229526150770894,0.5,Central,0
P100008,2023-06-25 01:30:36.815664,12,28,0.03647778769056818,0.9033994072735178,4.884024835305722,0.5,North,0
P100009,2024-08-24 01:30:36.815667,10,37,0.10048160677132614,0.9452864530938199,5.0,0.18908550314780237,Central,1
P100010,2023-05-20 01:30:36.815670,24,36,0.06281475808112026,0.7288640597814422,4.411395305460552,0.05,Central,0
P100011,2024-07-13 01:30:36.815673,18,31,0.18473994404231142,0.9541127184023741,4.382885996495761,0.0608183706360591,West,0
P100012,2022-12-21 01:30:36.815676,22,26,0.017772572335277986,0.9039077768559091,4.454379056967368,0.5,East,0
P100013,2024-10-30 01:30:36.815679,9,31,0.08577515380402079,0.8799928675256171,4.3304210033812485,0.14865427202855358,South,1
P100014,2024-04-30 01:30:36.815682,17,33,0.11810502905251113,0.9172693976594204,4.429964161701121,0.3716314749185765,East,0
P100015,2025-07-12 01:30:36.815685,13,36,0.015376576942423247,0.7838884689318433,4.264571013077842,0.09483676353517606,East,0
P100016,2024-11-23 01:30:36.815689,6,32,0.07103697214385257,0.9149691782649382,5.0,0.20279587522425466,North,1
P100017,2023-07-17 01:30:36.815692,21,30,0.07178716767563424,0.8869590806981877,4.2982416204200735,0.17228935462551875,West,1
P100018,2023-03-30 01:30:36.815695,36,28,0.03504582145560205,0.9769041606721647,4.889782203227793,0.28256122353056917,North,0
P100019,2024-04-15 01:30:36.815698,7,20,0.09217523320701451,0.986471058381016,4.225146554633758,0.061585261132155615,West,1
P100020,2024-03-10 01:30:36.815701,36,34,0.025457380844349967,0.8164215684845553,4.832167027106447,0.05,West,1
P100021,2023-09-03 01:30:36.815704,25,27,0.16392220484859474,0.9061474868048085,3.9986903780685834,0.13540220440096726,Central,1
P100022,2022-12-01 01:30:36.815707,11,25,0.12824484003758843,0.9041970144975596,4.156313835131528,0.05,West,0
